name,id,artists,Cluster_PCA,R,G,B,opacity,noise,R_label,G_label,B_label,opacity_label,noise_label,atmosphere
One Night Only,74fQgHleHZ4V7Gm1XYcGkj,Sonder,1,49,68,246,51,26.462085835001112,"차가운,","평온한,","신비로운,","저명한,",약간의 빈티지한,"차가운, 평온한, 신비로운, 저명한, 약간의 빈티지한"
Stick Season,0mflMxspEfB0VbI1kyLiAv,Noah Kahan,3,74,174,140,51,7.471647765176784,"밸런스 있는,","안정적인,","청량한,","저명한,",깨끗한,"밸런스 있는, 안정적인, 청량한, 저명한, 깨끗한"
Loving Machine,7JEzAlwHhCD2M1cYE6BeqJ,TV Girl,1,110,104,88,51,34.41183010896153,"밸런스 있는,","평온한,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Alone (Feat. LeeHi),2SSbQoEqPHu6qAgi3pFobY,"Coogie, LeeHi",1,130,150,205,51,8.683566822325995,"따뜻한,","안정적인,","신비로운,","저명한,",깨끗한,"따뜻한, 안정적인, 신비로운, 저명한, 깨끗한"
Pretty Little Poison,0MIp9iBm1V41ERxkZnmSUG,Warren Zeiders,4,92,140,50,51,4.136090727151434,"밸런스 있는,","안정적인,","무거운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 무거운, 저명한, 깨끗한"
Last Goodbye,0x50cQ1pZeV4xl737GhKBk,AKMU,1,86,153,140,51,30.93173226595508,"밸런스 있는,","안정적인,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 청량한, 저명한, 약간의 빈티지한"
Me and Your Mama,4AFsRbaLKRWo3dDtjDFA2V,Childish Gambino,2,57,131,72,51,31.287525016677787,"차가운,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"차가운, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
No One Else Like You,6CdV33i2ztlvFheXGz4Huc,Adam Levine,3,190,79,114,51,41.127418278852566,"따뜻한,","평온한,","중립적인,","저명한,",빈티지한,"따뜻한, 평온한, 중립적인, 저명한, 빈티지한"
Heart Attack,7pm5uhK7xiEM9fQvuCE78l,AOA,1,244,37,137,51,37.16922392706249,"강렬한,","차분한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 차분한, 청량한, 저명한, 약간의 빈티지한"
ベテルギウス,2sf18cEv463VgqmdjDsFpw,Yuuri,4,214,71,31,51,11.296419835445851,"강렬한,","평온한,","무거운,","저명한,",깨끗한,"강렬한, 평온한, 무거운, 저명한, 깨끗한"
Vancouver 2,2fiI6e0WxyZB3QnmRxYGPg,BIG Naughty,4,235,94,31,50,3.691349788748054,"강렬한,","평온한,","무거운,","저명한,",깨끗한,"강렬한, 평온한, 무거운, 저명한, 깨끗한"
Because I Don't Love You,5mdl3TlXrImNPrIo3aO70q,Onestar,2,130,202,18,50,5.58149877696242,"따뜻한,","활기찬,","무거운,","저명한,",깨끗한,"따뜻한, 활기찬, 무거운, 저명한, 깨끗한"
Budapest,2ixsaeFioXJmMgkkbd4uj1,George Ezra,4,71,116,175,51,41.13853680231265,"밸런스 있는,","평온한,","청량한,","저명한,",빈티지한,"밸런스 있는, 평온한, 청량한, 저명한, 빈티지한"
Auburn - HEADACHE. version,04Jqhrzx81FECn0gkQPKZe,데이먼스 이어 Damons year,2,19,227,116,50,14.409606404269512,"차가운,","활기찬,","중립적인,","저명한,",깨끗한,"차가운, 활기찬, 중립적인, 저명한, 깨끗한"
Look What You Did (feat. Mariah the Scientist),5pssqZ6vKSTbCz7dXLMCpY,"Latto, Mariah the Scientist",1,127,158,172,50,0.088948187680676,"밸런스 있는,","안정적인,","청량한,","저명한,",깨끗한,"밸런스 있는, 안정적인, 청량한, 저명한, 깨끗한"
Conversations,4K06PO78fW4mnBVenxGNob,Juice WRLD,4,168,94,195,51,16.65554814320658,"따뜻한,","평온한,","신비로운,","저명한,",깨끗한,"따뜻한, 평온한, 신비로운, 저명한, 깨끗한"
Christmas Tree,186NCtNk1tUYS7c2DxgJ7O,V,2,61,230,32,51,10.740493662441628,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Who (Rock Remix),2x9lpe6UIHNqLf8fB8qpb7,Jimin,1,185,18,130,51,0.266844563042028,"따뜻한,","차분한,","청량한,","저명한,",깨끗한,"따뜻한, 차분한, 청량한, 저명한, 깨끗한"
What 2 Do,6GS3lnAVy5w6AHWEKYzYeS,"DEAN, Crush, Jeff Bernat",1,63,126,119,51,34.08939292861908,"차가운,","평온한,","중립적인,","저명한,",약간의 빈티지한,"차가운, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Hello,3cGp1jXxLReLKz7QgVbWZR,JOY,4,254,119,21,51,13.04202801867912,"강렬한,","평온한,","무거운,","저명한,",깨끗한,"강렬한, 평온한, 무거운, 저명한, 깨끗한"
1hour,5R6cFOPKrkJi0Ob9xDNjHv,Chaeum,4,175,174,35,50,7.193684678674672,"따뜻한,","안정적인,","무거운,","저명한,",깨끗한,"따뜻한, 안정적인, 무거운, 저명한, 깨끗한"
Maps,7oUHzZKNKUTrlU7DYxhQ7v,Maroon 5,3,154,5,192,51,37.55837224816544,"따뜻한,","차분한,","신비로운,","저명한,",약간의 빈티지한,"따뜻한, 차분한, 신비로운, 저명한, 약간의 빈티지한"
11:11,67QGnT1Vdfuuy4HkLTUVjj,TAEYEON,4,185,193,34,51,29.908828107627308,"따뜻한,","활기찬,","무거운,","저명한,",약간의 빈티지한,"따뜻한, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Count Me Out,6BU1RZexmvJcBjgagVVt3M,Kendrick Lamar,3,71,194,211,51,9.183900378029795,"밸런스 있는,","활기찬,","신비로운,","저명한,",깨끗한,"밸런스 있는, 활기찬, 신비로운, 저명한, 깨끗한"
First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr,Mitski,2,71,157,34,51,39.64865465866133,"밸런스 있는,","안정적인,","무거운,","저명한,",빈티지한,"밸런스 있는, 안정적인, 무거운, 저명한, 빈티지한"
Flower Shops (feat. Morgan Wallen),1DbZAffh8GGwW41Q3AU8iC,"ERNEST, Morgan Wallen",4,72,155,72,51,9.88436735601512,"밸런스 있는,","안정적인,","중립적인,","저명한,",깨끗한,"밸런스 있는, 안정적인, 중립적인, 저명한, 깨끗한"
비행운,6e1jziK0mMytJvWit0W04d,MoonMoon,3,35,183,240,50,31.532132532799643,"차가운,","안정적인,","신비로운,","저명한,",약간의 빈티지한,"차가운, 안정적인, 신비로운, 저명한, 약간의 빈티지한"
Boat,34HSEUn4YGAFBW9OHGIkU7,george,3,122,60,221,51,27.39604180564821,"밸런스 있는,","차분한,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 차분한, 신비로운, 저명한, 약간의 빈티지한"
Nothing,1lORkxEMmsCZqhoxcmk3A3,Bruno Major,2,35,243,76,51,17.04469646430954,"차가운,","활기찬,","중립적인,","저명한,",깨끗한,"차가운, 활기찬, 중립적인, 저명한, 깨끗한"
You're right,3X4StHauTX08nwxvdzByae,LUCY,4,253,52,22,50,10.929508561263065,"강렬한,","차분한,","무거운,","저명한,",깨끗한,"강렬한, 차분한, 무거운, 저명한, 깨끗한"
Slow Dance (feat. Sofia Carson),5nyhz1bxLCiBBIAIcBgiEP,"Jimin, Sofia Carson",1,117,31,151,51,0.266844563042028,"밸런스 있는,","차분한,","청량한,","저명한,",깨끗한,"밸런스 있는, 차분한, 청량한, 저명한, 깨끗한"
Be Mine,3VaKWbW68AyOkEl4AxhXA2,Jimin,3,102,68,156,51,0.266844563042028,"밸런스 있는,","평온한,","청량한,","저명한,",깨끗한,"밸런스 있는, 평온한, 청량한, 저명한, 깨끗한"
The Man,3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,1,122,54,213,51,20.23571269735379,"밸런스 있는,","차분한,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 차분한, 신비로운, 저명한, 약간의 빈티지한"
We Don't Talk Anymore (feat. Selena Gomez),06KyNuuMOX1ROXRhj787tj,"Charlie Puth, Selena Gomez",3,76,204,182,51,34.71203024238381,"밸런스 있는,","활기찬,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 청량한, 저명한, 약간의 빈티지한"
The Color Violet,3azJifCSqg9fRij2yKIbWz,Tory Lanez,3,72,116,128,51,10.896152990882811,"밸런스 있는,","평온한,","청량한,","저명한,",깨끗한,"밸런스 있는, 평온한, 청량한, 저명한, 깨끗한"
Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,"Mustard, Roddy Ricch",1,68,191,229,51,20.858350011118524,"밸런스 있는,","안정적인,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 신비로운, 저명한, 약간의 빈티지한"
2 On (feat. ScHoolboy Q),3jVtllWS5CFFWLQng8sKsr,"Tinashe, ScHoolboy Q",3,89,121,192,51,40.1045141205248,"밸런스 있는,","평온한,","신비로운,","저명한,",빈티지한,"밸런스 있는, 평온한, 신비로운, 저명한, 빈티지한"
In a Party,0EhWwPb3GMHTUmz1VkwPey,KLOSER,3,59,29,125,50,22.3815877251501,"차가운,","차분한,","중립적인,","저명한,",약간의 빈티지한,"차가운, 차분한, 중립적인, 저명한, 약간의 빈티지한"
"10,000 Hours (with Justin Bieber)",4j5ffIFh7bFT7GZciP1TCy,"Dan + Shay, Justin Bieber",1,89,121,132,51,12.219257282632867,"밸런스 있는,","평온한,","청량한,","저명한,",깨끗한,"밸런스 있는, 평온한, 청량한, 저명한, 깨끗한"
Sunday Service,0yET0MZil2Wao0JQihcsjp,Latto,1,207,77,243,50,0.0778296642205915,"강렬한,","평온한,","신비로운,","저명한,",깨끗한,"강렬한, 평온한, 신비로운, 저명한, 깨끗한"
Knees,3Sc3OHN2EnhsKwzt7hMFKQ,IU,2,25,245,33,50,35.80164554147209,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Hurt,5expoVGQPvXuwBBFuNGqBd,NewJeans,3,125,193,99,51,8.294418501223037,"밸런스 있는,","활기찬,","중립적인,","저명한,",깨끗한,"밸런스 있는, 활기찬, 중립적인, 저명한, 깨끗한"
Stuck in me,4rbR5E789mRBANimW1u2Pm,Gitae,2,149,219,34,50,6.34867689570825,"따뜻한,","활기찬,","무거운,","저명한,",깨끗한,"따뜻한, 활기찬, 무거운, 저명한, 깨끗한"
광화문에서 (At Gwanghwamun),1YqGY2dW0a9ocyxaB5PtrR,KYUHYUN,2,56,230,65,50,39.62641761174116,"차가운,","활기찬,","중립적인,","저명한,",빈티지한,"차가운, 활기찬, 중립적인, 저명한, 빈티지한"
Good 2 You (feat. Ciara),13MCgAZzg6UQHqJFJtF2Sl,"Latto, Ciara",4,218,124,164,50,0.088948187680676,"강렬한,","평온한,","청량한,","저명한,",깨끗한,"강렬한, 평온한, 청량한, 저명한, 깨끗한"
Miles On It,4pkb8SbRGeHAvdb87v9rpf,"Marshmello, Kane Brown",4,185,13,119,51,1.1674449633088726,"따뜻한,","차분한,","중립적인,","저명한,",깨끗한,"따뜻한, 차분한, 중립적인, 저명한, 깨끗한"
Ranger (remix by BIGBOY) - BIGBOY Remix,4z8ifjtrlElIWqZYoQZwod,"MAXIMIZER, BIGBOY",4,199,94,86,50,21.33644651990216,"강렬한,","평온한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Perfect Night,2e57bosi6bl7yxoYRiJHVq,LE SSERAFIM,1,214,91,162,50,0.0778296642205915,"강렬한,","평온한,","청량한,","저명한,",깨끗한,"강렬한, 평온한, 청량한, 저명한, 깨끗한"
When It Snows,7xLlRiRccn2fWHibTO2Ta1,1415,2,34,196,67,50,23.026462085835,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
To You My Light (feat. LEE RAON),5kPpA4aMFeAQnahSnTIOi4,"MAKTUB, LEE RAON",4,137,164,56,50,21.06960195686013,"따뜻한,","안정적인,","무거운,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 무거운, 저명한, 약간의 빈티지한"
Trust Issues,4Wjhj0WjkyECccfHVIgaTq,Drake,3,59,203,28,51,20.469201690015566,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,Cherub,1,125,131,211,51,43.13987102512786,"밸런스 있는,","안정적인,","신비로운,","저명한,",빈티지한,"밸런스 있는, 안정적인, 신비로운, 저명한, 빈티지한"
Palette (feat. G-DRAGON),3y7ByLZ05tluscOTRgEJ9Y,"IU, G-DRAGON",1,120,146,228,51,29.730931732265955,"밸런스 있는,","안정적인,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 신비로운, 저명한, 약간의 빈티지한"
Could've Been (feat. Bryson Tiller),6oEVnWKgPqIEPc53OYDNqG,"H.E.R., Bryson Tiller",2,27,202,35,51,20.1578830331332,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Type Shit,28drn6tQo95MRvO0jQEo5C,"Future, Metro Boomin, Travis Scott, Playboi Carti",4,122,158,125,51,1.6344229486324215,"밸런스 있는,","안정적인,","중립적인,","저명한,",깨끗한,"밸런스 있는, 안정적인, 중립적인, 저명한, 깨끗한"
Dare to Love (feat. BIG Naughty),6odZjB2Z1T2iJTf5bbqUIe,"B.I, BIG Naughty",1,74,90,209,50,4.91438736935735,"밸런스 있는,","평온한,","신비로운,","저명한,",깨끗한,"밸런스 있는, 평온한, 신비로운, 저명한, 깨끗한"
Nike Shoes,4qkLMfY5sczhls5VDdsrT1,"Beenzino, Dynamicduo",1,102,66,167,50,28.8414498554592,"밸런스 있는,","평온한,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 청량한, 저명한, 약간의 빈티지한"
The Astronaut,0h7QMc9ZRzA9QJrbEHytn2,JIN,4,180,136,70,51,7.315988436735601,"따뜻한,","안정적인,","중립적인,","저명한,",깨끗한,"따뜻한, 안정적인, 중립적인, 저명한, 깨끗한"
It's Been Forever,0Q45KQal5LusnPiToM6zAb,"YIYEON, Roden",4,249,134,180,50,5.047809650878364,"강렬한,","안정적인,","청량한,","저명한,",깨끗한,"강렬한, 안정적인, 청량한, 저명한, 깨끗한"
Fatal,2bAR5brSVVnx6dptJdetOx,Pr!d3,1,28,116,167,50,17.778519012675115,"차가운,","평온한,","청량한,","저명한,",깨끗한,"차가운, 평온한, 청량한, 저명한, 깨끗한"
Chicago Freestyle (feat. Julius Capre),2kWQMQYgz9Y05kRbVp0zb3,"Roden, Julius Capre",3,133,126,90,50,9.517456081832332,"따뜻한,","평온한,","중립적인,","저명한,",깨끗한,"따뜻한, 평온한, 중립적인, 저명한, 깨끗한"
Been Away,5PvVkf1Yuq3XyMqqjPiKPd,Brent Faiyaz,3,92,183,100,51,18.367800756059594,"밸런스 있는,","안정적인,","중립적인,","저명한,",깨끗한,"밸런스 있는, 안정적인, 중립적인, 저명한, 깨끗한"
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",3,197,123,200,51,20.858350011118524,"강렬한,","평온한,","신비로운,","저명한,",약간의 빈티지한,"강렬한, 평온한, 신비로운, 저명한, 약간의 빈티지한"
Because You're Pretty,6SB7by6S98iScUgybNS3PI,GIRIBOY,3,97,90,247,50,34.178341116299755,"밸런스 있는,","평온한,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 신비로운, 저명한, 약간의 빈티지한"
カタオモイ,2HovXsvcdJur52BOcYGydz,Aimer,1,64,172,112,51,32.08805870580387,"밸런스 있는,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
Lean On,01aTsQoKoeXofSTvKuunzv,"Major Lazer, DJ Snake, MØ",3,164,124,180,51,37.40271291972426,"따뜻한,","평온한,","청량한,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 청량한, 저명한, 약간의 빈티지한"
All Mine,7vg6BjvS17IsNmDEs9WhGz,f(x),1,216,75,93,50,32.76628863686902,"강렬한,","평온한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 평온한, 중립적인, 저명한, 약간의 빈티지한"
"Tomorrow (Feat. GIRIBOY, BIG Naughty)",7K31QxS2DmTBxdYldd8yqf,"lIlBOI, GIRIBOY, BIG Naughty",3,66,157,211,50,15.010006671114075,"밸런스 있는,","안정적인,","신비로운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 신비로운, 저명한, 깨끗한"
Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,2,25,193,175,51,27.55170113408939,"차가운,","활기찬,","청량한,","저명한,",약간의 빈티지한,"차가운, 활기찬, 청량한, 저명한, 약간의 빈티지한"
HER,4jQDaI7FRGaDB0llURpnNf,Block B,4,249,8,128,51,40.87169223927062,"강렬한,","차분한,","청량한,","저명한,",빈티지한,"강렬한, 차분한, 청량한, 저명한, 빈티지한"
Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,Rixton,4,239,56,72,51,43.13987102512786,"강렬한,","차분한,","중립적인,","저명한,",빈티지한,"강렬한, 차분한, 중립적인, 저명한, 빈티지한"
Let It Happen,2X485T9Z5Ly0xyaghN73ed,Tame Impala,4,223,51,100,51,36.89126084056037,"강렬한,","차분한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 차분한, 중립적인, 저명한, 약간의 빈티지한"
WINE (Feat.Changmo) (Prod. SUGA),3eHkFA3StDR9BU7EVrUFLs,"SURAN, CHANGMO",4,159,141,112,51,29.664220591505448,"따뜻한,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
Snowman,7uoFMmxln0GPXQ0AcCBXRq,Sia,2,71,184,175,51,23.51567711807872,"밸런스 있는,","안정적인,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 청량한, 저명한, 약간의 빈티지한"
No Idea,7AzlLxHn24DxjgQX73F9fU,Don Toliver,3,133,194,132,51,17.978652434956636,"따뜻한,","활기찬,","청량한,","저명한,",깨끗한,"따뜻한, 활기찬, 청량한, 저명한, 깨끗한"
Love Story (Taylor’s Version),3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,4,183,121,114,51,14.242828552368245,"따뜻한,","평온한,","중립적인,","저명한,",깨끗한,"따뜻한, 평온한, 중립적인, 저명한, 깨끗한"
Young Love,19IWPuwIW3mPK7DzOo9mNw,Roden,3,144,157,105,50,25.15010006671114,"따뜻한,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
The Snowman,6HgeeiHqVpxxFCB0bjBRT6,Jung Seung Hwan,2,11,250,37,50,26.350900600400266,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Popo (How deep is our love?),6hQHOFxszCnn9Fsodazpcn,Yerin Baek,3,38,141,103,51,19.02379364020458,"차가운,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"차가운, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
I Guess I Loved You - 2016 Version,3CRYykOC8kHuSUWKPOmpgN,YB,2,46,230,33,50,31.69891038470092,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
I Know Where The Rainbow has Fallen,3N0gL4EypJfzJ6txDnIrDS,JANNABI,4,162,196,37,50,12.39715365799422,"따뜻한,","활기찬,","무거운,","저명한,",깨끗한,"따뜻한, 활기찬, 무거운, 저명한, 깨끗한"
TT,5gklZRmeV20l6cRdHBZBwW,TWICE,1,218,106,170,50,31.72114743162108,"강렬한,","평온한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 평온한, 청량한, 저명한, 약간의 빈티지한"
새벽 가로수길,6ALfDt7beygWQQoH49UImQ,Baek Ji Young,2,31,227,41,50,38.16989103847009,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Emptiness in Memory,3pOuipxjrJEwnnGhE106Rh,Naul,2,107,210,14,50,27.2626195241272,"밸런스 있는,","활기찬,","무거운,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 무거운, 저명한, 약간의 빈티지한"
H&M,45ZAhPxH7v3Cvxjo7Q9THB,Latto,1,229,20,237,50,0.088948187680676,"강렬한,","차분한,","신비로운,","저명한,",깨끗한,"강렬한, 차분한, 신비로운, 저명한, 깨끗한"
Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z,Cody Johnson,1,177,47,93,51,42.99533022014676,"따뜻한,","차분한,","중립적인,","저명한,",빈티지한,"따뜻한, 차분한, 중립적인, 저명한, 빈티지한"
Sippy Cup,2e4jB31WcGsxKL1ByqdZCq,Melanie Martinez,1,149,129,175,51,36.57994218367801,"따뜻한,","안정적인,","청량한,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 청량한, 저명한, 약간의 빈티지한"
lovememore.,0P9XwjnnIPQFTwdqvu01Mf,dosii,1,188,147,125,51,22.192572826328664,"따뜻한,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Sabrina Carpenter,3,92,116,143,51,0.7894151656659996,"밸런스 있는,","평온한,","청량한,","저명한,",깨끗한,"밸런스 있는, 평온한, 청량한, 저명한, 깨끗한"
Bye bye my blue,6XdXTQV3qwim4Bji87TT8t,Yerin Baek,2,59,209,57,50,33.12208138759173,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
REALLY REALLY,4iJyTp1KwCeBKhf7h0SwsD,WINNER,1,154,87,207,51,29.91994663108739,"따뜻한,","평온한,","신비로운,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 신비로운, 저명한, 약간의 빈티지한"
Ranger,1EISUtZWprchJQxt6TMLoh,MAXIMIZER,4,197,94,90,50,18.99043806982433,"강렬한,","평온한,","중립적인,","저명한,",깨끗한,"강렬한, 평온한, 중립적인, 저명한, 깨끗한"
Don't Know You,1Zv6zo71iDXH07Lin7hxMg,HEIZE,3,81,126,164,50,28.997109183900378,"밸런스 있는,","평온한,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 청량한, 저명한, 약간의 빈티지한"
Immortals,3c1ItvzDDDpmDgLH9SIUp4,Fall Out Boy,3,195,21,167,51,39.77095841672226,"강렬한,","차분한,","청량한,","저명한,",빈티지한,"강렬한, 차분한, 청량한, 저명한, 빈티지한"
Way down We Go,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,4,127,202,48,51,33.23326662219257,"밸런스 있는,","활기찬,","무거운,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 무거운, 저명한, 약간의 빈티지한"
On Me,4Iedi94TIaB2GGb1nMB68v,Lil Baby,3,57,73,243,51,15.02112519457416,"차가운,","평온한,","신비로운,","저명한,",깨끗한,"차가운, 평온한, 신비로운, 저명한, 깨끗한"
Sunsetz,0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,2,36,163,25,51,29.18612408272181,"차가운,","안정적인,","무거운,","저명한,",약간의 빈티지한,"차가운, 안정적인, 무거운, 저명한, 약간의 빈티지한"
Summer,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,3,218,21,97,51,39.77095841672226,"강렬한,","차분한,","중립적인,","저명한,",빈티지한,"강렬한, 차분한, 중립적인, 저명한, 빈티지한"
동물의 사육제 백조 - 생상스,1Y6Lx2AF7hoTNnoDyRmWqW,Piano Classic,0,10,252,82,50,41.88347787413832,"차가운,","활기찬,","중립적인,","저명한,",빈티지한,"차가운, 활기찬, 중립적인, 저명한, 빈티지한"
Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,3,66,165,47,51,18.334445185679343,"밸런스 있는,","안정적인,","무거운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 무거운, 저명한, 깨끗한"
Dangerously,2EbseeW2cr5zK3J8VuYntw,Charlie Puth,2,74,189,162,51,35.65710473649099,"밸런스 있는,","안정적인,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 청량한, 저명한, 약간의 빈티지한"
New Face,25YgkxnU4UzEG4ORni69Rw,PSY,1,175,82,238,51,29.51967978652435,"따뜻한,","평온한,","신비로운,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 신비로운, 저명한, 약간의 빈티지한"
Heart Shaker,3QG2RzpI7DLcwFB8OCG9tA,TWICE,4,253,17,82,50,27.129197242606185,"강렬한,","차분한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 차분한, 중립적인, 저명한, 약간의 빈티지한"
夜に駆ける,6MCjmGYlw6mQVWRFVgBRvB,YOASOBI,1,225,7,140,51,14.654213920391372,"강렬한,","차분한,","청량한,","저명한,",깨끗한,"강렬한, 차분한, 청량한, 저명한, 깨끗한"
Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,"Clean Bandit, Zara Larsson",3,117,136,175,51,23.19323993773627,"밸런스 있는,","안정적인,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 청량한, 저명한, 약간의 빈티지한"
インフェルノ,2vOAHp8PBBFYqvQUWSoITY,Mrs. GREEN APPLE,1,199,34,65,51,19.802090282410497,"강렬한,","차분한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 차분한, 중립적인, 저명한, 약간의 빈티지한"
Revival,2QfX9Pdz3q66fN3kCXl0Js,Zach Bryan,2,19,222,40,51,17.356015121191906,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,3,31,238,195,51,28.329997776295308,"차가운,","활기찬,","신비로운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 신비로운, 저명한, 약간의 빈티지한"
YACHT (k) (Feat. Sik-K),57ziFwpzuFkJi5nP91qnl4,"Jay Park, Sik-K",3,127,110,182,50,28.763620191238605,"밸런스 있는,","평온한,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 청량한, 저명한, 약간의 빈티지한"
pocket locket,7t9d2YdmD87JC72pocMtlz,Alaina Castillo,3,221,75,54,51,13.231042917500556,"강렬한,","평온한,","무거운,","저명한,",깨끗한,"강렬한, 평온한, 무거운, 저명한, 깨끗한"
Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,d4vd,2,105,200,84,51,8.427840782744052,"밸런스 있는,","활기찬,","중립적인,","저명한,",깨끗한,"밸런스 있는, 활기찬, 중립적인, 저명한, 깨끗한"
Tequila,42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,3,68,77,48,51,24.98332221480988,"밸런스 있는,","평온한,","무거운,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 무거운, 저명한, 약간의 빈티지한"
"Going, Going, Gone",67AdiJcurlf6gocGobfaXs,Luke Combs,4,144,198,82,51,8.716922392706248,"따뜻한,","활기찬,","중립적인,","저명한,",깨끗한,"따뜻한, 활기찬, 중립적인, 저명한, 깨끗한"
